Territorio,Atividades,Mes_Ano,Indice,Data,Ano
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",janeiro 2019,96.47752,2019-01-01,2019
Brasil,Hipermercados e supermercados,janeiro 2019,95.54743,2019-01-01,2019
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",fevereiro 2019,90.75268,2019-02-01,2019
Brasil,Hipermercados e supermercados,fevereiro 2019,89.64694,2019-02-01,2019
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",março 2019,94.3761,2019-03-01,2019
Brasil,Hipermercados e supermercados,março 2019,93.06886,2019-03-01,2019
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",abril 2019,93.30936,2019-04-01,2019
Brasil,Hipermercados e supermercados,abril 2019,92.21864,2019-04-01,2019
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",maio 2019,93.46582,2019-05-01,2019
Brasil,Hipermercados e supermercados,maio 2019,92.10576,2019-05-01,2019
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",junho 2019,91.40297,2019-06-01,2019
Brasil,Hipermercados e supermercados,junho 2019,89.6583,2019-06-01,2019
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",julho 2019,93.14186,2019-07-01,2019
Brasil,Hipermercados e supermercados,julho 2019,91.35823,2019-07-01,2019
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",agosto 2019,99.22104,2019-08-01,2019
Brasil,Hipermercados e supermercados,agosto 2019,97.6782,2019-08-01,2019
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",setembro 2019,93.26685,2019-09-01,2019
Brasil,Hipermercados e supermercados,setembro 2019,91.54256,2019-09-01,2019
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",outubro 2019,97.85853,2019-10-01,2019
Brasil,Hipermercados e supermercados,outubro 2019,95.95857,2019-10-01,2019
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",novembro 2019,101.78169,2019-11-01,2019
Brasil,Hipermercados e supermercados,novembro 2019,100.41654,2019-11-01,2019
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",dezembro 2019,115.23238,2019-12-01,2019
